load_scenario,load_scenario_idx,load,p_mw,q_mvar
0,22338,0,-0.06949753314703422,-0.0
0,22338,1,19.021614075823503,11.132465380781499
0,22338,2,65.59436275177517,13.230285480718981
0,22338,3,37.18181608891604,-3.033662818970137
0,22338,4,3.4778749892350778,0.7321842082600164
0,22338,5,9.794055886395636,6.558519566782793
0,22338,6,-0.05629536755876963,-0.0
0,22338,7,-0.047725358970469145,-0.0
0,22338,8,22.747496738661795,12.800286300399518
0,22338,9,6.569843117600449,4.233898898009178
0,22338,10,2.3818742964055835,1.2249639238657288
0,22338,11,4.241282664360232,1.112467584094487
0,22338,12,12.012664972540156,5.160996803017253
0,22338,13,11.402477474282293,3.826334722913521
1,22339,0,-0.06910374798819952,-0.0
1,22339,1,19.06242561439014,11.156350474781327
1,22339,2,65.07651454237428,13.125836266508612
1,22339,3,38.099850686574584,-3.1085652233816083
1,22339,4,3.7012977334318,0.7792205754593263
1,22339,5,9.831825305075691,6.583811588220329
1,22339,6,-0.0687676982473917,-0.0
1,22339,7,-0.04983492232136477,-0.0
1,22339,8,22.562909205260873,12.696416705333236
1,22339,9,6.812306706582577,4.390153210908771
1,22339,10,2.407840430563259,1.2383179357182477
1,22339,11,4.229861784457556,1.109471943464277
1,22339,12,11.869824957655764,5.0996285003261805
1,22339,13,11.25687226596348,3.777473914752846
2,22340,0,-0.05558329740313539,-0.0
2,22340,1,18.901668004679983,11.0622665280846
2,22340,2,64.07412701858664,12.923656192708556
2,22340,3,38.663259542773446,-3.1545337283852812
2,22340,4,3.9721379102741254,0.8362395600577107
2,22340,5,9.796843193235361,6.56038606689868
2,22340,6,-0.07103418350368607,-0.0
2,22340,7,-0.04064314769280131,-0.0
2,22340,8,22.32458628202783,12.562309568869898
2,22340,9,6.945962718913909,4.476287085522296
2,22340,10,2.4231033064563965,1.246167414749004
2,22340,11,4.162688846179078,1.091852812112545
2,22340,12,11.70515688367095,5.0288822166882605
2,22340,13,11.07537043158678,3.7165672589217382
3,22341,0,-0.03530632251387189,-0.0
3,22341,1,18.560935773429527,10.86285181209931
3,22341,2,62.581829306140634,12.622661961960423
3,22341,3,38.767716237537726,-3.163056345740526
3,22341,4,4.263117755338489,0.897498474808103
3,22341,5,9.685350271973467,6.485725628553662
3,22341,6,-0.06664333094315644,-0.0
3,22341,7,-0.02436768139123302,-0.0
3,22341,8,22.01374027177938,12.387392830899584
3,22341,9,7.079376316509304,4.562264737305996
3,22341,10,2.424035955516792,1.2466470628372073
3,22341,11,4.083843730889984,1.0711721261350777
3,22341,12,11.566613716243381,4.969359966978638
3,22341,13,10.909253790767686,3.6608234197207
4,22342,0,-0.020555663406284452,-0.0
4,22342,1,18.171726516573187,10.635065749330852
4,22342,2,61.16764909467708,12.337423915062255
4,22342,3,38.46648835577402,-3.138479175471102
4,22342,4,4.52862480799022,0.9533946964189938
4,22342,5,9.49874625507827,6.360767581525628
4,22342,6,-0.061162907416832724,-0.0
4,22342,7,-0.009843522769742208,-0.0
4,22342,8,21.73848740654535,12.232504777920434
4,22342,9,7.135460723637582,4.5984080218997745
4,22342,10,2.397698242130292,1.233101953095579
4,22342,11,4.005848362522584,1.0507143245960877
4,22342,12,11.442149848639446,4.915886601637688
4,22342,13,10.807395189814502,3.626642681145806
5,22343,0,-0.02068001661433705,-0.0
5,22343,1,17.69167724123433,10.354115251782304
5,22343,2,59.422428800214504,11.985415575414814
5,22343,3,37.48618833036908,-3.0584965374150506
5,22343,4,4.674492231332563,0.9841036276489606
5,22343,5,9.193763905698221,6.1565383297086305
5,22343,6,-0.05822876386492304,-0.0
5,22343,7,-0.0050041104230249545,-0.0
5,22343,8,21.355389221627597,12.016930884034512
5,22343,9,7.011120469044033,4.518277635606154
5,22343,10,2.349517295591199,1.2083231805897596
5,22343,11,3.899384251685447,1.0227893119174944
5,22343,12,11.26791879089608,4.841031776829427
5,22343,13,10.624231796724848,3.565178455276795
6,22344,0,-0.03282073874815161,-0.0
6,22344,1,17.145082715238594,10.034218916291712
6,22344,2,57.400768363460074,11.577649669912327
6,22344,3,35.82317438880136,-2.9228112995047137
6,22344,4,4.633188091218551,0.9754080192039054
6,22344,5,8.790903923467424,5.886766020179079
6,22344,6,-0.05526353201099887,-0.0
6,22344,7,-0.009458619982913419,-0.0
6,22344,8,20.970675925400496,11.800448147852483
6,22344,9,6.747865467794091,4.348624412578413
6,22344,10,2.278351731097027,1.1717237474213285
6,22344,11,3.788681769007181,0.9937525951494246
6,22344,12,11.027148774176002,4.73758984372006
6,22344,13,10.388204226457116,3.4859745726366165
7,22345,0,-0.0610193090694402,-0.0
7,22345,1,16.707661423541147,9.77821659350104
7,22345,2,56.048607834117476,11.30492090072433
7,22345,3,33.90504391933215,-2.766311114757226
7,22345,4,4.97334370848643,1.0470197281024065
7,22345,5,8.360316876829206,5.598426480019558
7,22345,6,-0.07911862242244538,-0.0
7,22345,7,-0.023646728863594646,-0.0
7,22345,8,20.569015063390207,11.574428815331439
7,22345,9,6.338734530928635,4.08496225326512
7,22345,10,2.203371187827239,1.1331623251682943
7,22345,11,3.7930789132478786,0.99490594445846
7,22345,12,10.872557011031795,4.671172641776623
7,22345,13,10.093630721719562,3.387124403261598
8,22346,0,-0.06634429108569684,-0.0
8,22346,1,16.386502979396322,9.590257504070658
