load_scenario,load_scenario_idx,load,p_mw,q_mvar
0,22338,0,0.04510653143388765,0.0
0,22338,1,18.48608476475146,10.819045000568828
0,22338,2,67.19243767162334,13.55261481699409
0,22338,3,36.001772242681085,-2.9373830909300467
0,22338,4,4.388583110385849,0.9239122337654418
0,22338,5,9.737340252575665,6.520540347706919
0,22338,6,0.04510653143388765,0.0
0,22338,7,0.04510653143388765,0.0
0,22338,8,22.549533833418536,12.688890224906702
0,22338,9,6.709713644494332,4.324037682007458
0,22338,10,2.528744317487851,1.3004970775651805
0,22338,11,4.571526294669575,1.1990888641756263
0,22338,12,12.248124626147899,5.262157246789467
0,22338,13,11.180613956471065,3.7518838780104247
1,22339,0,0.037030234689462205,0.0
1,22339,1,18.766653729629745,10.983248956972247
1,22339,2,66.48341120879475,13.409605233196391
1,22339,3,36.86005216307963,-3.0074101137240703
1,22339,4,4.566538842789461,0.9613765984819919
1,22339,5,9.78085661220451,6.5496807671012345
1,22339,6,0.037030234689462205,0.0
1,22339,7,0.037030234689462205,0.0
1,22339,8,22.580262399365562,12.706181553541299
1,22339,9,6.900360806095992,4.44689918615075
1,22339,10,2.5135228926640636,1.292668916227233
1,22339,11,4.617874511785225,1.21124577358301
1,22339,12,12.17916022446591,5.232528096437206
1,22339,13,11.268330895947171,3.781319092599722
2,22340,0,0.037030234689462205,0.0
2,22340,1,18.739982927293106,10.967639777724537
2,22340,2,65.84028602465276,13.279887839367328
2,22340,3,38.06861434502801,-3.1060166515817835
2,22340,4,4.83178164487408,1.0172171883945431
2,22340,5,9.656476132493996,6.466390267295087
2,22340,6,0.037030234689462205,0.0
2,22340,7,0.037030234689462205,0.0
2,22340,8,22.81925742208022,12.840666888357005
2,22340,9,7.09316508874865,4.571150834971352
2,22340,10,2.5039018033886515,1.287720927457021
2,22340,11,4.53292572653421,1.1889641249925798
2,22340,12,12.17916022446591,5.232528096437206
2,22340,13,11.225938665262698,3.7670935118331204
3,22341,0,0.037030234689462205,0.0
3,22341,1,18.392466044227106,10.764254320814942
3,22341,2,65.37066909523233,13.185166802647709
3,22341,3,38.79417682373695,-3.165215263861383
3,22341,4,5.065024961617466,1.0663210445510456
3,22341,5,9.570934315907461,6.40910780083089
3,22341,6,0.037030234689462205,0.0
3,22341,7,0.037030234689462205,0.0
3,22341,8,22.33092681524319,12.565877462136845
3,22341,9,7.284010623325061,4.69414017947615
3,22341,10,2.5039018033886515,1.287720927457021
3,22341,11,4.412765738264934,1.1574467510203106
3,22341,12,12.1513460017832,5.220578282247597
3,22341,13,11.191093304941342,3.7554004378997794
4,22342,0,0.037030234689462205,0.0
4,22342,1,17.965533353470768,10.51439048797598
4,22342,2,64.31404580798969,12.97204745596395
4,22342,3,38.247286218674425,-3.120594482276784
4,22342,4,5.086808238759034,1.070906997633481
4,22342,5,9.51011322921843,6.368379394565913
4,22342,6,0.037030234689462205,0.0
4,22342,7,0.037030234689462205,0.0
4,22342,8,22.232057132469272,12.510242318609828
4,22342,9,7.332658264493185,4.7254908815622745
4,22342,10,2.499377715248067,1.285394253556149
4,22342,11,4.403236803599061,1.1549473583210652
4,22342,12,12.098112280919882,5.197707498469282
4,22342,13,11.03107857611471,3.7017042201727217
5,22343,0,0.024093800063644366,0.0
5,22343,1,17.32208840393664,10.137812107373056
5,22343,2,59.38265945996298,11.977394158591258
5,22343,3,37.08293160218878,-3.025594837835486
5,22343,4,5.143421887219203,1.0828256604672006
5,22343,5,9.289589340517264,6.220707147667811
5,22343,6,0.024093800063644366,0.0
5,22343,7,0.024093800063644366,0.0
5,22343,8,21.51965166729091,12.109363311085731
5,22343,9,7.153568549263759,4.610077509525533
5,22343,10,2.453115361061787,1.2616021856889192
5,22343,11,4.34836298975513,1.1405542268210178
5,22343,12,11.797928262916033,5.068739549993555
5,22343,13,11.01814177139006,3.6973630105335773
6,22344,0,0.016363175629701132,0.0
6,22344,1,17.187197741896785,10.058866881202267
6,22344,2,58.22106726117051,11.74310273845265
6,22344,3,35.49085228344314,-2.895697152833227
6,22344,4,4.967206359530661,1.045727654638034
6,22344,5,9.009692521382952,6.0332762419975134
6,22344,6,0.016363175629701132,0.0
6,22344,7,0.016363175629701132,0.0
6,22344,8,20.854077028107064,11.73483656496872
6,22344,9,6.876121368045965,4.431278214962955
6,22344,10,2.445384736627843,1.2576264359800338
6,22344,11,4.071059406884731,1.0678188608222245
6,22344,12,11.544629660484643,4.959914965245255
6,22344,13,10.890594887978443,3.6545620429457863
7,22345,0,0.016363175629701132,0.0
7,22345,1,16.83888070515278,9.85501313158711
7,22345,2,57.800330024886804,11.658240663193729
7,22345,3,33.33358763409788,-2.7196860203552666
7,22345,4,4.917504306785923,1.03526406458651
7,22345,5,8.343823144740588,5.5873815701387874
7,22345,6,0.016363175629701132,0.0
7,22345,7,0.016363175629701132,0.0
7,22345,8,20.302743016449654,11.42459437535811
7,22345,9,6.479425937035199,4.1756300483115725
7,22345,10,2.315369756620388,1.1907615891190568
7,22345,11,3.9160061304951608,1.0271491489823372
7,22345,12,11.525032372103086,4.951495389496141
7,22345,13,10.518004456616437,3.529531696851153
8,22346,0,0.016363175629701132,0.0
8,22346,1,16.80802704580003,9.836955920813844
8,22346,2,56.52950241519202,11.401916623021744
8,22346,3,32.06421081183038,-2.616117618538462
8,22346,4,4.533548232772141,0.9544312068993981
8,22346,5,7.96101863324721,5.331039263335186
8,22346,6,0.016363175629701132,0.0
8,22346,7,0.016363175629701132,0.0
8,22346,8,20.2138563796103,11.374576810221388
8,22346,9,6.1422505406239996,3.9583392372910216
8,22346,10,2.2473204243042044,1.1557647896421623
8,22346,11,3.8728122657373483,1.0158196106852062
8,22346,12,11.236065864692907,4.827346815942138
8,22346,13,10.296897513345572,3.455334736022004
9,22347,0,0.0009567013891693676,0.0
9,22347,1,15.789490629511878,9.240853962894048
9,22347,2,51.13692554798578,10.314241883351697
9,22347,3,28.495760790782164,-2.3249679306286706
9,22347,4,4.121317348077372,0.8676457574899731
9,22347,5,7.477581935810127,5.00730933201571
9,22347,6,0.0009567013891693676,0.0
9,22347,7,0.0009567013891693676,0.0
9,22347,8,19.057170951152244,10.723696196241603
9,22347,9,5.699673772176032,3.6731230976245537
9,22347,10,2.118212186438801,1.0893662673113835
9,22347,11,3.7007784847684135,0.9706959960048298
9,22347,12,10.51994978860997,4.519682131402802
9,22347,13,9.669304347907783,3.2447330026536187
10,22348,0,-0.01683246914137193,-0.0
10,22348,1,15.045866587530945,8.80564542219553
10,22348,2,47.39111380316171,9.558717221444505
10,22348,3,26.51163725811564,-2.16308337461613
10,22348,4,3.6511745082145497,0.7686683175188527
10,22348,5,6.810539854751495,4.5606293670210905
10,22348,6,-0.01683246914137193,-0.0
10,22348,7,-0.01683246914137193,-0.0
10,22348,8,17.710309496907563,9.965801276225951
10,22348,9,4.986125811898683,3.213281078779151
10,22348,10,2.016483120077339,1.0370484617540603
10,22348,11,3.412754619087136,0.8951487525474455
10,22348,12,10.060976068918341,4.322493422201954
10,22348,13,9.135934829537693,3.0657499427978836
11,22349,0,-0.01683246914137193,-0.0
11,22349,1,14.414320315493528,8.43603078372202
11,22349,2,44.104976652695186,8.895908242051044
11,22349,3,24.525706162746353,-2.001051339638301
11,22349,4,3.210269476197457,0.6758462055152541
11,22349,5,6.3582280065873995,4.257741968696919
11,22349,6,-0.01683246914137193,-0.0
11,22349,7,-0.01683246914137193,-0.0
11,22349,8,16.489636940929714,9.278914346421466
11,22349,9,4.471863860194323,2.8818678210141186
11,22349,10,1.8558957558305895,0.9544606744271604
11,22349,11,3.1958371020866716,0.8382523546456844
11,22349,12,9.579048686569381,4.115443139414993
11,22349,13,8.258344192910599,2.7712564405740268
12,22350,0,0.0037183788846739674,0.0
12,22350,1,13.969967812842473,8.17597194576495
12,22350,2,41.206294490614255,8.31124835797952
12,22350,3,22.827424763137685,-1.8624886313020288
12,22350,4,2.8729836052844613,0.6048386537440972
12,22350,5,5.831572925344785,3.905071155364812
12,22350,6,0.0037183788846739674,0.0
12,22350,7,0.0037183788846739674,0.0
12,22350,8,15.633311512470833,8.797049868034435
12,22350,9,4.16182170461221,2.6820628763056464
12,22350,10,1.6824008246670346,0.8652347098287607
12,22350,11,3.058534876047794,0.8022386560125362
12,22350,12,9.30239193815242,3.996583203058077
12,22350,13,7.872932612709407,2.64192369554007
13,22351,0,0.01084722261536264,0.0
13,22351,1,13.688641625750869,8.011324822444056
13,22351,2,38.67797467239302,7.8012900082321375
13,22351,3,21.810176290790075,-1.7794913710058848
13,22351,4,2.632258000424403,0.5541595790367164
13,22351,5,5.464496318928826,3.659260927854125
13,22351,6,0.01084722261536264,0.0
13,22351,7,0.01084722261536264,0.0
13,22351,8,15.124122875575956,8.510523380832572
13,22351,9,3.76131962204958,2.423961534209729
13,22351,10,1.6895296683977241,0.8689009723188297
13,22351,11,2.872574275974621,0.7534621051736712
13,22351,12,9.058853998519023,3.8919520882526175
13,22351,13,7.508666906933806,2.5196868815214115
14,22352,0,0.01084722261536264,0.0
14,22352,1,13.703954835085362,8.020286931132908
14,22352,2,36.91517320294433,7.445735571719132
14,22352,3,21.309568765448503,-1.7386468239591877
14,22352,4,2.448161958274354,0.515402517531443
14,22352,5,5.4694304765769175,3.662565051279186
14,22352,6,0.01084722261536264,0.0
14,22352,7,0.01084722261536264,0.0
14,22352,8,14.770385001217818,8.311470882041213
14,22352,9,3.511462938769651,2.262942782762664
14,22352,10,1.6577537227519183,0.8525590574152724
14,22352,11,2.8072348073172533,0.7363238838864927
14,22352,12,9.044336686725952,3.8857150209637425
14,22352,13,7.216482575215848,2.4216384480590096
15,22353,0,0.015828752914140765,0.0
15,22353,1,13.623823256251056,7.973389647667669
15,22353,2,35.730341758199344,7.206756830210058
15,22353,3,21.338013081395232,-1.7409675945071426
15,22353,4,2.4459517280407495,0.5149372059033157
15,22353,5,5.418916056892669,3.6287384309549124
15,22353,6,0.015828752914140765,0.0
15,22353,7,0.015828752914140765,0.0
15,22353,8,14.538006605448299,8.18070880170989
15,22353,9,3.638330598297104,2.3447019411248
15,22353,10,1.6451437152972392,0.8460739107242946
15,22353,11,2.7694203291042214,0.7264053322240581
15,22353,12,9.063359119094391,3.89388762153685
15,22353,13,7.095080720310795,2.3808995705740923
16,22354,0,0.01794423784637189,0.0
16,22354,1,13.907381879506273,8.13934331196911
16,22354,2,36.849005453097604,7.4323896349135286
16,22354,3,21.577579536708797,-1.7605138115724752
16,22354,4,2.2926279235000804,0.4826585102105433
16,22354,5,5.696447620644497,3.8145854602530114
16,22354,6,0.01794423784637189,0.0
16,22354,7,0.01794423784637189,0.0
16,22354,8,14.758354568536385,8.304701214837424
16,22354,9,3.7866710220448283,2.4402991030955556
16,22354,10,1.6656967839162862,0.8566440602998044
16,22354,11,2.8451181239133136,0.7462604915182462
16,22354,12,8.918378406294739,3.8315996115932953
16,22354,13,7.283999335310639,2.444295078963302
17,22355,0,0.06207186196107983,0.0
17,22355,1,14.49249074060917,8.481780295195229
17,22355,2,39.31699620066927,7.930179700771934
17,22355,3,22.58055403724635,-1.842346459105874
17,22355,4,2.470821629453627,0.5201729746218162
17,22355,5,6.060026793083974,4.058053656083019
17,22355,6,0.06207186196107983,0.0
17,22355,7,0.06207186196107983,0.0
17,22355,8,15.439501856336998,8.687990875091328
17,22355,9,3.8996777400604055,2.5131256547055942
17,22355,10,1.7546233914296545,0.9023777441638224
17,22355,11,3.073664516360875,0.8062070862585902
17,22355,12,9.297500087427231,3.9944815190428105
17,22355,13,7.5719145769842875,2.5409109318739223
18,22356,0,0.004277228123243049,0.0
18,22356,1,14.93367445704788,8.739984590069497
18,22356,2,44.47887714140304,8.971323414932671
18,22356,3,24.57840823663536,-2.0053512996417973
18,22356,4,2.5764367335667373,0.5424077333824711
18,22356,5,6.427175383723046,4.30391208731454
18,22356,6,0.004277228123243049,0.0
18,22356,7,0.004277228123243049,0.0
18,22356,8,16.431364879596675,9.246123966145925
18,22356,9,4.45062092734965,2.8681779309586632
18,22356,10,1.7631104978792527,0.906742541766473
18,22356,11,3.2506827884192573,0.852638108437838
18,22356,12,9.548102519856643,4.102147749271743
18,22356,13,7.94589121352713,2.6664064474923257
19,22357,0,0.022053815293446632,0.0
19,22357,1,15.38276533506411,9.00281657858591
19,22357,2,46.78258841876505,9.435978555801867
19,22357,3,26.095687620341963,-2.129146061073926
19,22357,4,2.6111867934384696,0.5497235354607305
19,22357,5,6.755377548866859,4.523690322901915
19,22357,6,0.022053815293446632,0.0
19,22357,7,0.022053815293446632,0.0
19,22357,8,17.081700329212723,9.612075439489193
19,22357,9,4.593696695190975,2.9603823146786277
19,22357,10,1.999317936180062,1.0282206528926034
19,22357,11,3.390230774179753,0.8892408588012467
19,22357,12,10.079575200745976,4.330484160320494
19,22357,13,8.440663575610477,2.832437441480026
20,22358,0,0.03737590699994264,0.0
20,22358,1,15.445126988507216,9.039313951799155
20,22358,2,48.14030339140067,9.709827647947057
20,22358,3,27.20019725545223,-2.2192629559887807
20,22358,4,2.8336628248191236,0.5965605946987629
20,22358,5,7.080554711195137,4.741442886961029
20,22358,6,0.03737590699994264,0.0
20,22358,7,0.03737590699994264,0.0
20,22358,8,17.58638338290869,9.896066581568958
20,22358,9,4.771181291779555,3.0747612769246015
20,22358,10,1.9969115535647077,1.0269830846904213
20,22358,11,3.581743596952947,0.939473730348314
20,22358,12,10.288462405782079,4.420228292854523
20,22358,13,8.807227086256157,2.955445330958442
21,22359,0,0.03737590699994264,0.0
21,22359,1,15.903204236299423,9.307405244285837
21,22359,2,52.76037740464873,10.641689710067153
21,22359,3,28.948388703350062,-2.3618978230766787
21,22359,4,3.1753425090833156,0.6684931598070138
21,22359,5,7.691938183833423,5.150851462388453
21,22359,6,0.03737590699994264,0.0
21,22359,7,0.03737590699994264,0.0
21,22359,8,18.717593428262276,10.532611895225552
21,22359,9,5.26115994872212,3.390525300287588
21,22359,10,2.0469918473172735,1.052738664334598
21,22359,11,3.7986592634592444,0.996369642874556
21,22359,12,10.662266668793224,4.580825679925978
21,22359,13,9.649089630581667,3.2379495404636467
22,22360,0,0.03737590699994264,0.0
22,22360,1,16.627428437626463,9.731259961191524
22,22360,2,57.43275082425496,11.584100484722336
22,22360,3,30.876741302600273,-2.5192320309652945
22,22360,4,3.4453669880966284,0.7253404185466586
22,22360,5,8.211036679618541,5.498462062244559
22,22360,6,0.03737590699994264,0.0
22,22360,7,0.03737590699994264,0.0
22,22360,8,19.681784531840723,11.075173668764611
22,22360,9,5.78175244097333,3.7260182397383677
22,22360,10,2.187783365158297,1.1251457306528385
22,22360,11,4.119823259086571,1.0806093794325433
22,22360,12,11.25848349123508,4.836978092530627
22,22360,13,10.135570229005967,3.4011980634248213
23,22361,0,0.03737590699994264,0.0
23,22361,1,17.206147542369152,10.069957317423421
23,22361,2,60.194306927341756,12.141102246491435
